,course_name,skill_label
240,Geprüfte Wirtschaftsfachwirtin / Geprüfter Wirtschaftsfachwirt,Kommunikation
241,Geprüfte/-r Technische/-r Betriebswirt/-in (IHK) - Lehrgang zur Vorbereitung auf die IHK-Prüfung,Logistik
242,Geprüfte/r IndustriefachwirtIn (IHK) - Lehrgang zur Vorbereitung auf die IHK-Prüfung,R
243,Geprüfte/r IndustriefachwirtIn (IHK) - Lehrgang zur Vorbereitung auf die IHK-Prüfung,Bekleidungsindustrie
244,Geprüfte/r IndustriefachwirtIn (IHK) - Lehrgang zur Vorbereitung auf die IHK-Prüfung,Finanzmanagement
245,Geprüfte/r WirtschaftsfachwirtIn (IHK) - Lehrgang zur Vorbereitung auf die IHK-Prüfung,R
246,Geprüfte/r WirtschaftsfachwirtIn (IHK) - Lehrgang zur Vorbereitung auf die IHK-Prüfung,Geschäftsprozesse
247,Geprüfte/r WirtschaftsfachwirtIn (IHK) - Lehrgang zur Vorbereitung auf die IHK-Prüfung,planen
248,Geprüfte/r WirtschaftsfachwirtIn (IHK) - Lehrgang zur Vorbereitung auf die IHK-Prüfung,Kommunikation
249,Geprüfter Fachwirt im Gesundheits- und Sozialwesen,Logistik
250,Geprüfter Fachwirt im Gesundheits- und Sozialwesen,planen
251,Geprüfter Fachwirt im Gesundheits- und Sozialwesen,andere führen
252,Geprüfter Fachwirt im Gesundheits- und Sozialwesen ,planen
253,Geprüfter Fachwirt im Gesundheits- und Sozialwesen ,andere führen
254,Gründer und die Psychologie des Beziehungsaufbaues,Psychologie
255,Gründer und die Psychologie des Beziehungsaufbaues,Psychologie
256,HACCP-Seminar für die Gastronomie - Grundlagen der Gaststättenunterrichtung und Lebensmittelhygiene,Allergien
257,HACCP-Seminar für die Gastronomie - Grundlagen der Gaststättenunterrichtung und Lebensmittelhygiene,Allergien
258,"Importieren, aber richtig! ",sich selbst darstellen
259,"Importieren, aber richtig! ",sich selbst darstellen
260,Interkulturelle Kompetenzen im Umgang mit Flüchtlingen,Kommunikation
261,Interner Qualitätsmanagement-Auditor (IHK) - Spezialisierung Gesundheits- und Sozialwesen,Qualitätssicherungssysteme
262,Neues beim Zoll - Update Veranstaltung - Live-Online,Internationales Recht
263,Neues beim Zoll - Update Veranstaltung - Live-Online,internationaler Handel
264,Neues beim Zoll - Update Veranstaltung - Live-Online,Statistik
265,Neues lernen - leicht gemacht ,andere motivieren
266,Notwendiges Rechtswissen für den Online-Handel,Urheberrecht
267,Notwendiges Rechtswissen für den Online-Handel,Urheberrecht
268,Online-Recht (IHK) - Webinar,Datenschutz
269,Personenschutzfachkraft (IHK) ,Erste Hilfe
270,Social Media Manager (IHK) - (Live-Online-Seminar),Spielregeln
